appid,content_warning,still_in_early_access,name,first_month_num_reviews
15540,False,True,1... 2... 3... KICK IT! (Drop That Beat Like an Ugly Baby),7
16900,False,True,Ground Branch,285
25000,False,False,Overgrowth,305
108600,False,True,Project Zomboid,503
116100,False,False,Super Toy Cars,37
200150,False,False,Battle Chess: Game of Kings™,23
206500,False,False,AirMech Strike,16
207140,False,False,SpeedRunners,8
211820,False,False,Starbound,10095
214190,False,False,Minimum,347
214420,False,False,Gear Up,8
215550,False,False,Zombie Playground™,40
215830,True,False,Closers,124
217120,False,True,Waves²,4
218980,False,False,Patterns,1
219990,False,False,Grim Dawn,92
220200,False,False,Kerbal Space Program,239
221100,False,False,DayZ,16535
223410,False,False,Perpetuum,60
223490,False,True,Blockscape,52
223830,False,False,Xenonauts,32
224440,False,True,Folk Tale,11
224500,False,False,Gnomoria,41
224740,False,False,Clockwork Empires,63
226100,False,False,Nom Nom Galaxy,15
226860,False,False,Galactic Civilizations III,25
227060,False,False,Hegemony Rome: The Rise of Caesar,38
227160,False,False,Kinetic Void,2
227780,False,True,Serious Sam Classics: Revolution,112
227860,False,False,Castle Story,34
227940,False,False,Heroes & Generals,3
228380,False,False,Wreckfest,868
229560,False,True,Hacker Evolution IMMERSION,25
229580,False,False,Dream,14
230070,False,False,The Age of Decadence,19
230190,False,False,War for the Overworld,15
230230,False,False,Divinity: Original Sin (Classic),201
230290,False,True,Universe Sandbox ²,356
230310,False,False,Akaneiro: Demon Hunters,8
230860,False,False,Cannon Brawl,17
232090,False,False,Killing Floor 2,5519
232450,False,False,SolForge,4
232810,False,True,Godus,47
233450,False,False,Prison Architect,26
233610,False,False,Distance,363
233680,False,False,Black Ink,8
233860,False,False,Kenshi,38
233980,False,False,Unepic,251
235380,False,False,Blitzkrieg 3,162
235800,False,False,Audiosurf 2,41
236110,False,False,Dungeon Defenders II,541
236150,False,False,Starpoint Gemini 2,6
236370,False,True,Interstellar Marines,43
237350,False,False,Frozen Cortex,24
237870,False,False,Planet Explorers,564
238240,False,False,Edge of Space,6
239840,False,False,Dead State,147
240760,False,False,Wasteland 2,220
241240,False,False,Contraption Maker,4
242130,False,False,Vector Thrust,45
242610,False,True,Grappledrome,9
242680,False,False,Nuclear Throne,25
242760,False,False,The Forest,8961
242840,True,False,In Verbis Virtus,111
242860,True,False,Verdun,18
243970,False,False,"Invisible, Inc.",193
244030,False,False,Take On Mars,29
244210,False,False,Assetto Corsa,250
244450,False,False,Men of War: Assault Squad 2,16
244590,False,False,Epigenesis,11
244770,False,True,StarMade,266
244850,False,True,Space Engineers,601
244930,False,True,SNOW,11
246070,False,False,Hack 'n' Slash,25
246090,False,False,Spacebase DF-9,13
246110,False,False,MASSIVE CHALICE,129
246300,False,True,Paranormal,18
246620,False,False,Plague Inc: Evolved,1175
246660,False,False,Assault Android Cactus Demo,1
246760,False,False,Legends of Eisenwald,19
246820,False,True,Jeklynn Heights,10
246880,False,True,Recruits,17
246900,False,False,Viscera Cleanup Detail,486
246920,False,False,Bombernauts,26
246940,False,False,Lords of the Black Sun,22
247080,False,False,Crypt of the NecroDancer,589
247310,False,True,Gravi,7
247730,False,False,Nether,176
248390,False,False,Craft The World,161
248610,False,False,Door Kickers,16
248630,True,True,Kingdoms Rise,267
248860,False,False,NEO Scavenger,120
249630,False,False,Delver,17
249950,False,False,Forge Quest,42
250110,False,False,Assault Android Cactus,7
250420,False,False,8BitMMO,53
250520,False,False,Underrail,29
250540,False,True,C-Wars,19
250560,False,False,Fight The Dragon,35
250580,False,False,Paranautical Activity: Deluxe Atonement Edition,26
251170,False,False,Damned,52
251570,True,True,7 Days to Die,1221
251890,False,True,World of Diving,19
251950,False,True,World War II Online,494
252090,False,True,Lacuna Passage,34
252250,False,False,Maia,99
252390,False,True,DwarfCorp,48
252470,False,False,Space Pirates and Zombies 2,554
252490,True,False,Rust,4553
252750,False,False,MouseCraft,12
252770,False,True,Vox,23
252850,False,True,Streamline,29
252870,False,True,PULSAR: Lost Colony,242
253190,False,False,Kingdom Wars 2: Battles,54
253250,False,False,Stonehearth,525
253510,False,False,Warmachine Tactics,111
253610,False,False,Wrack,29
253630,False,False,Steam Marines,13
254200,False,False,FortressCraft Evolved,31
254320,False,False,Duskers,120
254590,False,False,Theme Park Studio,50
256010,False,False,Jagged Alliance Flashback,15
256030,False,False,Shadows: Heretic Kingdoms,19
256440,False,False,Monsters & Munitions,9
257030,False,False,Project Nimbus,110
257170,False,False,Rebuild 3: Gangs of Deadsville,39
257730,False,False,Infinity Wars - Animated Trading Card Game,474
257930,False,True,Race To Mars,39
259450,False,True,Drifter,30
259470,False,False,Particulars,8
259570,False,True,Eden Star,55
259660,False,False,Void Destroyer,40
260330,False,False,Flockers,16
260430,False,False,The Four Kings Casino and Slots,35
261350,False,True,Steam Bandits: Outpost,9
261490,False,False,Bedlam,1
261530,False,False,Lifeless Planet,84
261760,False,False,Lichdom: Battlemage,99
262060,False,False,Darkest Dungeon®,2913
262120,False,False,Toy Soldiers: Complete,58
262210,False,False,Last Knight: Rogue Rider Edition,21
262630,False,False,Tom vs. The Armies of Hell,4
263020,False,False,STARWHAL,112
263040,False,True,Bot Colony,7
263060,False,False,Blockstorm,103
263200,False,True,Signs of Life,74
263480,False,False,Final Rush,17
263640,False,False,CDF Ghostship,2
263720,False,False,Brawlout,86
263760,False,False,Turbo Dismount,188
263920,False,True,Zombie Grinder,55
264000,False,False,Son of Nor,11
264120,False,False,Victory: The Age of Racing,54
264140,False,False,Pixel Piracy,72
264260,False,False,Global Outbreak: Doomsday Edition,11
264300,False,False,Guns'N'Zombies,19
264380,False,False,Narcissu 1st & 2nd,296
264440,False,True,Children of Liberty,2
264690,False,False,Coin Crypt,30
264710,False,False,Subnautica,107
265120,False,False,Meridian: New World,64
265590,False,False,The Red Solstice,1
265670,False,False,Imagine Me,7
265750,False,False,Secret Ponchos,47
265770,False,False,Cannons Lasers Rockets,135
265810,False,False,The Sandbox,33
265970,False,False,Worlds of Magic,69
266190,False,True,Astral Terra,18
266310,False,False,GameGuru,78
