appid,2D,4X,Action,Adventure,Arcade,Battle Royale,Beat 'em up,Board Game,Building,Card Game,Casual,Dungeon Crawler,Education,Exploration,Fighting,First-Person,Flight,God Game,Hack and Slash,Horror,Indie,Isometric,MOBA,Management,Metroidvania,Open World,Platformer,Puzzle,PvP,RPG,Racing,Real-Time,Rhythm,Rogue-like,Runner,Sandbox,Shoot 'Em Up,Shooter,Side Scroller,Simulation,Software,Space Sim,Sports,Stealth,Strategy,Survival,Survival Horror,Tactics,Third Person,Top-Down,Turn-Based,VR Only,Visual Novel,Walking Simulator,Anime,Atmospheric,Colorful,Cute,Cyberpunk,Dinosaurs,Fantasy,Funny,Futuristic,Historical,Lovecraftian,Magic,Medieval,Military,Minimalist,Music,Naval,Post-apocalyptic,Realistic,Relaxing,Retro,Robots,Sci-fi,Science,Space,Steampunk,Tactical,War,Western,Zombies,Character Customization,Co-op,Competitive,Controller,Crafting,Difficult,Downloadable Content,Fast-Paced,In-App Purchases,Level Editor,Massively Multiplayer,Multiplayer,Physics,Pixel Graphics,Procedural Generation,Resource Management,Rogue-lite,Split Screen,Story Rich,Team-Based,VR
15540,0.0,0.0,0.6753725164232796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6753725164232796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2962160159751226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
16900,0.0,0.0,0.541779235832033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45439548811718894,0.0,0.0,0.0,0.0,0.541779235832033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45439548811718894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.457495710997814,0.0,0.0,0.0,0.0,0.457495710997814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7624928516630234,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
25000,0.0,0.0,0.5614430188138292,0.11839954818522927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3341922731034697,0.0,0.0,0.0,0.0,0.0,0.5614430188138292,0.0,0.0,0.0,0.0,0.2558957976906568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3685663354798266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20624437425814132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6106976030562483,0.0,0.15994461032425553,0.0,0.3510472616207686,0.0,0.6106976030562483,0.0,0.2077202731483838,0.24926432777806054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108600,0.08651533726266568,0.0,0.0,0.07320528537610173,0.0,0.0,0.0,0.0,0.14290792551889717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44203382844325545,0.09667300843925396,0.0,0.0,0.0,0.31243595481092223,0.0,0.0,0.0,0.44203382844325545,0.0,0.0,0.0,0.0,0.0,0.2518401922747232,0.0,0.0,0.0,0.44203382844325545,0.0,0.0,0.0,0.0,0.0,0.44203382844325545,0.12154178959572871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3875923908756205,0.19497548263114375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9009754157068175,0.0,0.49068995516390335,0.0,0.49068995516390335,0.19207673363785124,0.0,0.0,0.0,0.0,0.0,0.0,0.49068995516390335,0.0,0.0,0.0,0.0,0.0,0.49068995516390335,0.0,0.0,0.0
116100,0.0,0.0,0.0,0.0,0.1610484381285057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6978765652235247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6978765652235247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
200150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14724203476646205,0.0,0.0,0.6993996651406948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6993996651406948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
206500,0.0,0.0,0.4728585278873165,0.08744644008875031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4728585278873165,0.0,0.38703146631872826,0.0,0.0,0.0,0.0,0.0,0.16355723053636634,0.05505886968550946,0.0,0.3481663818348392,0.0,0.0,0.0,0.0,0.0,0.14412468829442182,0.0,0.0,0.0,0.0,0.0,0.0,0.4728585278873165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9049820579364379,0.4254497324163334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49266721961687576,0.0,0.49266721961687576,0.0,0.0,0.0,0.07086309323256432,0.49266721961687576,0.0,0.1552239185094266,0.49266721961687576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
207140,0.21893346582099935,0.0,0.4156562901818973,0.0,0.09677493779044173,0.0,0.0,0.0,0.0,0.0,0.4156562901818973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4156562901818973,0.0,0.0,0.0,0.0,0.0,0.28080596703128174,0.0,0.0,0.0,0.4156562901818973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4156562901818973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10947018466992567,0.3164372525615039,0.4481435684925082,0.0,0.0,0.0,0.2907801780294901,0.0,0.4481435684925082,0.0,0.4481435684925082,0.0,0.0,0.0,0.0,0.0,0.4481435684925082,0.0,0.0,0.0
211820,0.19557937341925385,0.0,0.3684655676326095,0.3684655676326095,0.0,0.0,0.0,0.0,0.19926203846582505,0.0,0.3684655676326095,0.0,0.0,0.12670358389959804,0.0,0.0,0.0,0.0,0.0,0.0,0.3684655676326095,0.0,0.0,0.0,0.0,0.120731694634888,0.11087807734811643,0.0,0.0,0.3684655676326095,0.0,0.0,0.0,0.0,0.0,0.3684655676326095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25400435672566707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.225554244664042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2171733922774944,0.0,0.0,0.0,0.0,0.0,0.0,0.37968905159924354,0.0,0.8705154935418358,0.0,0.0,0.0,0.0,0.0,0.0,0.6057871550399673,0.0,0.0,0.3996035204234468,0.0,0.0,0.0,0.0,0.0,0.0,0.6057871550399673,0.0,0.326130145865655,0.0,0.0,0.0,0.0,0.0,0.0,0.0
214190,0.0,0.0,0.6253532895343853,0.08884800834914763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1913649410597026,0.0,0.2972991048606094,0.0,0.0,0.0,0.0,0.0,0.14694093688512877,0.0,0.0,0.0,0.0,0.0,0.0,0.05809292853598114,0.0,0.468160659378201,0.0,0.0,0.0,0.0,0.0,0.0,0.11276862598161046,0.0,0.0,0.0,0.468160659378201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5329058642715688,0.0,0.0,0.0,0.0,0.0,0.0,0.7993587964073532,0.2775551376414421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17034562583704227,0.0,0.6494426985037236,0.29100711080494723,0.0,0.0,0.0,0.0,0.0,0.15969902422222712,0.6494426985037236,0.0,0.13130808658272008,0.0,0.0,0.0,0.0,0.0,0.0,0.0
